provider_id,provider_name,specialty,city,state,tax_id,license_no
P010489,"Korpal, Gulati and Lala",Dermatology,Alappuzha,Assam,899858518,LIC583533
P009245,"Menon, Vyas and Choudhury",General Medicine,Korba,Mizoram,573008265,LIC986070
P026483,Basu-Khare,Pediatrics,Kamarhati,Madhya Pradesh,131044292,LIC611307
P007191,Gole Inc,ENT,Malda,Gujarat,238240197,LIC362500
P013876,D’Alia-Banik,Cardiology,Dhanbad,Bihar,495759430,LIC559428
P025161,"Sandhu, Bains and Walia",OBGYN,Jamnagar,Gujarat,797676925,LIC586792
P021349,Pradhan LLC,Dermatology,Kadapa,Bihar,326535117,LIC786719
P017109,Rattan and Sons,ENT,Amroha,Punjab,992919107,LIC183532
P011597,"Kapadia, Dayal and Bandi",Dermatology,Fatehpur,Mizoram,361057324,LIC939306
P013018,Sodhi-Ravi,Cardiology,Kumbakonam,Madhya Pradesh,597948068,LIC357310
P000916,Ganguly-Mani,Cardiology,Kumbakonam,Haryana,218319582,LIC158439
P037414,"Sarraf, Bumb and Mani",Pediatrics,Loni,Tripura,XXXXX,BADLIC
P014895,Ramachandran PLC,Orthopedics,Vijayanagaram,Meghalaya,499569471,LIC196493
P015791,Peri Inc,Orthopedics,Fatehpur,Assam,717232387,LIC131591
P027287,"Shukla, Ray and Parmar",Dermatology,Bhind,Gujarat,854817950,LIC954840
P032169,Shroff Inc,ENT,Morbi,Mizoram,116746326,LIC805419
P016034,Loyal Ltd,Urology,Sirsa,Punjab,138939624,LIC741492
P033063,Sane-Chaudry,Cardiology,Surat,Assam,964208839,LIC225733
P004479,Saran-Yogi,Cardiology,Nandyal,Karnataka,458336156,LIC719003
P019735,Ben PLC,ENT,Avadi,Goa,247585302,LIC166373
P034774,Kade LLC,Dermatology,Vasai-Virar,Karnataka,929274777,LIC235862
P025651,Khanna PLC,Dermatology,Nagpur,Goa,372444280,LIC442653
P016844,"Ahuja, Gaba and Swaminathan",Orthopedics,Gandhidham,Gujarat,504766567,LIC827296
P009151,Soman-Bhagat,Cardiology,Gorakhpur,Haryana,734991602,LIC341419
P015545,"Loyal, Bhandari and Tiwari",ENT,Panipat,Tripura,332254255,LIC185812
P015433,Dubey-Dewan,Dermatology,Pune,Telangana,672430248,LIC174893
P005649,Nori-Gole,Cardiology,Davanagere,Chhattisgarh,388877155,LIC334968
P034958,Lad-Misra,Neurology,Chandigarh,Manipur,662580406,LIC879965
P005486,Chokshi Inc,Dermatology,Bhalswa Jahangir Pur,Uttarakhand,912012110,LIC540861
P011768,Sastry-De,General Medicine,Rajahmundry,Punjab,492584541,LIC506434
P032588,"Swaminathan, Sharma and Morar",Dermatology,Tirupati,Chhattisgarh,670957177,LIC180290
P035420,"Dada, Narang and Barman",Cardiology,Berhampur,Jharkhand,XXXXX,BADLIC
P004446,Morar Group,Orthopedics,Aurangabad,Assam,174346485,LIC138964
P039619,"Sarma, Kade and Chaudhary",Oncology,Tirunelveli,Bihar,XXXXX,BADLIC
P025677,Vora-Sant,Pediatrics,Aurangabad,Nagaland,654011005,LIC545092
P031410,Narayanan-Pradhan,Dermatology,Khammam,Tripura,137348890,LIC318174
P008350,Kamdar LLC,Neurology,Katni,Haryana,111548833,LIC438678
P002696,"Yohannan, Comar and Dutta",Urology,Jhansi,Telangana,415634839,LIC991168
P016620,Bhatia Inc,Dermatology,Ratlam,Bihar,657449813,LIC695748
P008964,Nori-Sarna,OBGYN,Sri Ganganagar,Andhra Pradesh,700843197,LIC307179
P026325,"More, Chana and Tiwari",ENT,Satara,Goa,853269133,LIC851939
P016395,"Bhardwaj, Walia and Soman",Neurology,Khora ,Gujarat,125020967,LIC452177
P029981,Chandran-Edwin,Neurology,Mango,Haryana,484570527,LIC217901
P035204,Virk-Oza,Pediatrics,Udupi,West Bengal,XXXXX,BADLIC
P028031,Menon-Krishna,Oncology,Aizawl,Punjab,412941433,LIC867087
P004872,"Peri, Guha and Chander",Neurology,Bangalore,Tripura,708921427,LIC412072
P006922,Balasubramanian-Kaul,Orthopedics,Tadipatri,Odisha,525873931,LIC180697
P005663,"Nadkarni, Sarma and Goda",Neurology,Morena,Bihar,822682727,LIC139098
P025886,Sarma and Sons,Neurology,Begusarai,West Bengal,515631579,LIC154104
P033968,Bora Ltd,Oncology,Gudivada,Chhattisgarh,388529368,LIC454730
P017202,Balakrishnan Inc,Neurology,Bahraich,Gujarat,422785766,LIC298931
P000943,"Bath, Bose and Sanghvi",Orthopedics,Srinagar,Tripura,848503787,LIC676447
P003698,Dass-Koshy,Neurology,Kirari Suleman Nagar,Odisha,381569378,LIC428705
P014573,"Anand, Ganesh and Chhabra",Cardiology,Sri Ganganagar,Odisha,700544447,LIC287052
P016944,Suresh-Sankar,OBGYN,Munger,Chhattisgarh,193616465,LIC805880
P032471,Varkey-Mohan,Neurology,Guna,Telangana,784336133,LIC564179
P027711,Sem-Mandal,Urology,Aurangabad,Andhra Pradesh,439740451,LIC412388
P016718,Kale Inc,Pediatrics,Ramagundam,Madhya Pradesh,770553140,LIC317777
P014574,"Chana, Morar and Deshpande",Dermatology,Anantapuram,Jharkhand,433577048,LIC648884
P033917,D’Alia and Sons,ENT,Karimnagar,Punjab,XXXXX,BADLIC
P038189,Wason Ltd,Orthopedics,Motihari,Rajasthan,XXXXX,BADLIC
P019507,Dhingra-Buch,Pediatrics,Vadodara,Odisha,584345894,LIC352383
P016792,Bassi-Setty,Neurology,Akola,Tamil Nadu,837035010,LIC493443
P023506,Bhatia Inc,Orthopedics,Chittoor,Meghalaya,862702773,LIC519899
P025501,Subramaniam-Shroff,Pediatrics,Karaikudi,Maharashtra,861458413,LIC436753
P005554,"Badal, Dixit and Sura",Neurology,Anantapur,Nagaland,105695951,LIC244398
P018581,"Narula, Raj and Badami",Dermatology,Jamnagar,Meghalaya,222230861,LIC633390
P034546,Nagarajan-Iyengar,Neurology,Gwalior,Punjab,896680273,LIC380332
P019769,Kulkarni and Sons,ENT,Bhilwara,Gujarat,641570036,LIC778147
P030296,Wadhwa Group,OBGYN,Avadi,Himachal Pradesh,122806739,LIC183045
P009397,Kakar Ltd,Orthopedics,Ulhasnagar,Odisha,708252697,LIC452657
P016076,Din PLC,Neurology,Gwalior,Tamil Nadu,385455111,LIC424955
P016054,"Bhattacharyya, Kota and Chatterjee",Neurology,Srinagar,Rajasthan,957094814,LIC231519
P015163,Bakshi-Dey,Orthopedics,Aurangabad,Maharashtra,600162488,LIC337663
P028743,Viswanathan Ltd,Pediatrics,Bhiwandi,Tripura,219905275,LIC617092
P028522,Borra Group,Urology,Rewa,Sikkim,310548720,LIC118945
P016118,Krishnamurthy PLC,Orthopedics,Imphal,Meghalaya,208472987,LIC596488
P009587,Bath-Agate,Orthopedics,Ulhasnagar,Punjab,690626663,LIC511360
P002327,"Purohit, Babu and Dube",Urology,Aurangabad,Bihar,910049778,LIC291123
P002375,Dugar-Bhakta,Cardiology,Bulandshahr,Jharkhand,565285577,LIC141971
P034195,"Bhakta, Johal and Tak",Orthopedics,Rohtak,Tripura,969134928,LIC915117
P029614,Anand Inc,Pediatrics,Ramgarh,Tripura,449967685,LIC202626
P007253,"Memon, Palla and Acharya",Cardiology,Solapur,Andhra Pradesh,850574491,LIC180183
P000898,Devi-Arora,Cardiology,Srikakulam,Telangana,497603754,LIC814188
P027349,"Ramanathan, Keer and Dayal",Pediatrics,Chennai,Madhya Pradesh,520897786,LIC864063
P018462,Bains LLC,Cardiology,Nashik,West Bengal,178904577,LIC272067
P002946,Shah-Bose,Pediatrics,Jamalpur,Tamil Nadu,XXXXX,BADLIC
P019584,Nadkarni-Lall,Pediatrics,Sri Ganganagar,West Bengal,231956452,LIC572756
P014741,"Grover, Nagi and Parsa",OBGYN,Chapra,Chhattisgarh,334951595,LIC732015
P028246,Ben LLC,Cardiology,Raebareli,Nagaland,951597052,LIC502795
P037023,Buch Group,ENT,Lucknow,Rajasthan,XXXXX,BADLIC
P032388,"Suri, Sharaf and Bains",Urology,Gangtok,Himachal Pradesh,613522969,LIC424684
P022894,Grover-Subramaniam,OBGYN,Hyderabad,Punjab,679555088,LIC450400
P029862,Babu PLC,,Vijayawada,Mizoram,XXXXX,BADLIC
P014047,"Madan, Lad and Bath",Neurology,Dibrugarh,Sikkim,565928668,LIC465937
P033047,"Hayre, Maharaj and Chatterjee",Cardiology,Etawah,Maharashtra,682347940,LIC952831
P010270,Sridhar and Sons,OBGYN,Chandigarh,Punjab,673235585,LIC195674
P012083,"Narayanan, Tiwari and Vora",ENT,Muzaffarnagar,Gujarat,108644500,LIC302872
P004025,Gola-Bhagat,Oncology,Kamarhati,Punjab,450276231,LIC858132
P000569,Ganesan-Ahluwalia,General Medicine,Thanjavur,Tamil Nadu,232416243,LIC625383
P015815,Tailor-Batra,Neurology,Coimbatore,Punjab,967881851,LIC670724
P010517,Batta-Nagarajan,Neurology,Panihati,Chhattisgarh,326431412,LIC229107
P017108,Chanda-Nadig,ENT,Delhi,Odisha,788954054,LIC426525
P014195,"Chaudhari, Rajagopal and Kota",Orthopedics,Tadepalligudem,Arunachal Pradesh,267663896,LIC640276
P001586,"Srivastava, Dhaliwal and Din",General Medicine,Ghaziabad,Meghalaya,394348654,LIC908078
P018335,Kale Inc,Pediatrics,Belgaum,Maharashtra,962583424,LIC575599
P003363,"Chandran, Sen and Lal",Orthopedics,Morbi,Tamil Nadu,408178552,LIC324208
P023780,Kunda and Sons,OBGYN,Rajpur Sonarpur,Uttar Pradesh,118663823,LIC631494
P010343,"Thaker, Char and Mander",Neurology,Durgapur,Karnataka,823432780,LIC784026
P034710,Dewan-Ben,Oncology,Baranagar,Himachal Pradesh,XXXXX,BADLIC
P003372,Kaul Inc,Oncology,Bardhaman,Rajasthan,390074210,LIC292320
P038067,Pant-Wagle,OBGYN,Nizamabad,Goa,XXXXX,BADLIC
P030935,"Soni, Rattan and Bumb",ENT,Nanded,Karnataka,898994381,LIC687552
P016121,Varughese-Shroff,Dermatology,Bhimavaram,Tripura,857274756,LIC643997
P002282,"Kadakia, Balakrishnan and Modi",Urology,Belgaum,Maharashtra,459326777,LIC882060
P037170,"Jain, Vora and Khurana",Pediatrics,Medininagar,Punjab,XXXXX,BADLIC
P019121,Rana-Borde,General Medicine,Bardhaman,Mizoram,722115693,LIC490774
P029659,"Ratta, Chahal and Sastry",Dermatology,Asansol,Gujarat,976573522,LIC786866
P008299,Panchal-Dutta,Oncology,Srinagar,Odisha,356661915,LIC641490
P009137,Puri-Guha,Urology,Jamnagar,Nagaland,787368659,LIC390697
P019413,Sama LLC,Dermatology,Ambarnath,Madhya Pradesh,678801431,LIC248148
P009409,Babu LLC,Urology,Panchkula,Gujarat,875434972,LIC405584
P031928,Nanda Group,OBGYN,Mysore,Odisha,336120989,LIC978625
P031715,Dani Inc,ENT,Hubli–Dharwad,Maharashtra,792412557,LIC481089
P003550,"Narula, Kapur and Ghosh",Neurology,Lucknow,Gujarat,324513629,LIC769154
P006914,Gulati and Sons,Urology,Sambalpur,West Bengal,843889609,LIC444017
P020364,Dhar-Chandran,Pediatrics,Unnao,Assam,101982621,LIC629669
P023390,De-Bhardwaj,OBGYN,Allahabad,Odisha,676971346,LIC278037
P031986,Mukherjee PLC,Cardiology,Patiala,Uttarakhand,721725579,LIC887079
P016986,Parmer-Gera,Oncology,Moradabad,Assam,857774851,LIC704340
P004756,Jayaraman-Sane,General Medicine,Ambarnath,Gujarat,698619254,LIC623497
P037058,"Deshpande, Shere and Amble",Oncology,Sasaram,Madhya Pradesh,XXXXX,BADLIC
P000703,Palla-Bhattacharyya,Orthopedics,Jehanabad,Odisha,819714164,LIC604023
P028513,Sane and Sons,General Medicine,Panihati,Uttar Pradesh,373864269,LIC305976
P024137,Kashyap Ltd,Dermatology,Raichur,Gujarat,204742344,LIC116147
P003927,"Brahmbhatt, Arora and Patil",Cardiology,Madurai,Meghalaya,263607897,LIC420092
P015497,Chaudhuri-Hegde,Urology,Gwalior,Assam,800952240,LIC939853
P027669,Nath LLC,General Medicine,Ranchi,Madhya Pradesh,378509622,LIC315199
P024313,"Kapadia, Batta and Munshi",Dermatology,Tiruvottiyur,Tamil Nadu,852213592,LIC817192
P033838,"Saha, Bava and Sani",General Medicine,Etawah,Gujarat,666370013,LIC624595
P007338,Ganguly-Borah,ENT,Bareilly,Rajasthan,481484157,LIC145624
P012135,Shah and Sons,OBGYN,Navi Mumbai,West Bengal,650614079,LIC196466
P028873,"Reddy, Sridhar and Krishnan",OBGYN,Nandyal,Odisha,337736808,LIC828111
P027114,Gandhi-Aggarwal,Cardiology,Morbi,Manipur,832261878,LIC565342
P019158,"Raj, Swamy and Mammen",Oncology,Jamnagar,Uttarakhand,465134203,LIC790764
P016530,"Dhaliwal, Toor and Swamy",Urology,Narasaraopet,Goa,333228742,LIC793076
P016228,Pall-Mistry,Orthopedics,North Dumdum,Karnataka,637358630,LIC228099
P012562,Rout-Oza,OBGYN,Guwahati,Odisha,184709010,LIC804678
P034490,Wali-Tata,Orthopedics,Jabalpur,West Bengal,473683220,LIC947710
P008088,Thaman Inc,Oncology,Tadipatri,Sikkim,714213565,LIC885124
P007186,Morar Ltd,General Medicine,Noida,Mizoram,165646604,LIC122660
P010790,"Chokshi, Goyal and Ganesan",Oncology,Khammam,Tamil Nadu,539631892,LIC297321
P023423,Ganesan LLC,OBGYN,Adoni,Sikkim,892341449,LIC542114
P022853,"Bala, Yadav and Narayan",Pediatrics,Pondicherry,Odisha,551716151,LIC479925
P039993,Bhat Ltd,Cardiology,Hospet,Punjab,XXXXX,BADLIC
P021903,Cherian-Mani,Cardiology,Dhanbad,Jharkhand,479177355,LIC427064
P035814,Chakrabarti Group,General Medicine,Motihari,Madhya Pradesh,XXXXX,BADLIC
P012593,Sangha Group,Orthopedics,Kolkata,West Bengal,XXXXX,BADLIC
P036357,Sarma-Bansal,General Medicine,Bhiwani,Telangana,XXXXX,BADLIC
P014537,Sarin and Sons,,Mango,Madhya Pradesh,XXXXX,BADLIC
P038995,"Kata, Padmanabhan and Sehgal",General Medicine,Bhilwara,Punjab,XXXXX,BADLIC
P037020,Ramanathan LLC,ENT,Bilaspur,Andhra Pradesh,XXXXX,BADLIC
P013400,"Bal, Soni and Munshi",ENT,Ballia,Rajasthan,706847609,LIC769249
P033094,Patla and Sons,Cardiology,Rewa,Tamil Nadu,301460990,LIC798294
P014025,Bedi-Ray,Urology,Ludhiana,Bihar,291878093,LIC118165
P006437,Barad PLC,Pediatrics,Bhilwara,Mizoram,429350991,LIC129193
P033311,Pillay-Sanghvi,Pediatrics,Uluberia,Tripura,797232743,LIC209339
P019199,Biswas-Walla,Dermatology,Singrauli,Chhattisgarh,625135381,LIC584586
P011303,"Handa, Kohli and Chakrabarti",Pediatrics,Kota,Mizoram,139842552,LIC580195
P007407,"Swamy, Pall and Dara",Dermatology,Mehsana,Telangana,746732349,LIC324582
P009803,Kanda-Sura,General Medicine,Guwahati,Tripura,807749846,LIC850636
P002680,Singh and Sons,Cardiology,Karnal,Uttarakhand,318419316,LIC965543
P039182,"Munshi, Shetty and Loyal",Cardiology,Rewa,Manipur,XXXXX,BADLIC
P030222,Purohit-Koshy,OBGYN,Tezpur,Andhra Pradesh,540760466,LIC113251
P015680,"Bora, Gola and Loke",Oncology,Adoni,West Bengal,495668749,LIC595132
P009694,Sankaran-Peri,Cardiology,Panipat,Sikkim,952372702,LIC757377
P014082,Sha-Bose,ENT,Dhule,Odisha,898531836,LIC200253
P034905,Wason and Sons,Dermatology,Dindigul,Karnataka,297795378,LIC421210
P013500,Misra and Sons,Neurology,Munger,Punjab,849274859,LIC351121
P023751,"Dara, Radhakrishnan and Memon",Neurology,Darbhanga,Mizoram,308859856,LIC882717
P010829,"Keer, Kata and Bandi",Dermatology,Patna,Bihar,XXXXX,BADLIC
P037547,Borde PLC,Pediatrics,Rewa,Madhya Pradesh,XXXXX,BADLIC
P010392,Sant-Shroff,Orthopedics,Karaikudi,Goa,381860014,LIC477573
P034337,"Balay, Andra and Sibal",Neurology,Rajkot,Meghalaya,XXXXX,BADLIC
P020607,Memon-Nair,Dermatology,Hospet,Rajasthan,730841420,LIC718753
P003037,"Murthy, Pandey and Sibal",OBGYN,Jalna,Madhya Pradesh,379410061,LIC292120
P003151,"Rama, Bera and Nagar",Urology,Shimoga,Bihar,XXXXX,BADLIC
P033443,"Grover, Krishna and Pau",Oncology,Panvel,Punjab,298496754,LIC671846
P021893,Shanker LLC,Urology,Dehradun,Bihar,709174921,LIC730839
P004482,Madan-Soni,Cardiology,Sasaram,Punjab,378773211,LIC972077
P035101,Bumb-Bahri,Pediatrics,Dhule,Gujarat,XXXXX,BADLIC
P012298,Koshy-Nagi,Orthopedics,Siliguri,Arunachal Pradesh,636479935,LIC519882
P006732,Anand Ltd,Pediatrics,Karaikudi,Bihar,144550990,LIC356184
P018302,Vohra Ltd,ENT,Malda,Karnataka,119783524,LIC234230
P039059,"Devan, Hari and Pillay",OBGYN,Mahbubnagar,Andhra Pradesh,XXXXX,BADLIC
P009876,"Rana, Devi and Malhotra",Orthopedics,Vasai-Virar,Gujarat,242550295,LIC984507
P035956,"Sethi, Din and Lata",Urology,Gurgaon,Chhattisgarh,XXXXX,BADLIC
P001977,"Dhillon, Dyal and Tak",Cardiology,Karawal Nagar,Maharashtra,207495614,LIC507059
P002659,Dhar and Sons,Dermatology,Singrauli,Uttar Pradesh,528759256,LIC802518
P010503,Kara LLC,OBGYN,Madhyamgram,Arunachal Pradesh,747557975,LIC448800
P029338,Kunda-Datta,Neurology,Kozhikode,Assam,561544991,LIC947527
P003174,Randhawa Ltd,Cardiology,Yamunanagar,Mizoram,980706422,LIC273209
P008071,Ganesh-Narang,General Medicine,Sasaram,Assam,647467501,LIC655516
P015603,Varghese Group,Urology,Deoghar,Mizoram,562808985,LIC859865
P023800,"Sahota, Bhakta and Ben",Pediatrics,Vellore,Uttarakhand,998687548,LIC610246
P022868,Patla-Chaudhry,Oncology,Katihar,Arunachal Pradesh,153884415,LIC570314
P036427,"Chaudhary, Bhasin and Batra",,Panchkula,Chhattisgarh,XXXXX,BADLIC
P001607,Munshi and Sons,Oncology,Gaya,Telangana,834250354,LIC861889
P002536,"Ratta, Wali and Menon",Dermatology,Belgaum,West Bengal,441061789,LIC929344
P000728,Setty-Bera,Oncology,Mathura,Assam,805663391,LIC952343
P029148,"Mani, Kara and Bhatnagar",General Medicine,Bulandshahr,Karnataka,355944364,LIC917171
P030667,"Char, Hayer and Dara",General Medicine,Sambalpur,Goa,991575810,LIC294008
P030153,Chahal PLC,Urology,Dindigul,Uttar Pradesh,162830730,LIC313902
P007974,"Naik, Nagi and Mishra",ENT,Buxar,Gujarat,693893079,LIC950834
P016540,"Deo, Khalsa and Raval",Neurology,Muzaffarnagar,West Bengal,400118072,LIC335488
P002183,"Atwal, Ahluwalia and Kaur",Neurology,Miryalaguda,West Bengal,185474544,LIC378470
P025237,Mohan-D’Alia,ENT,Raiganj,Telangana,291725922,LIC270806
P001053,Bhasin Inc,Cardiology,Chandigarh,Uttarakhand,575405251,LIC946429
P000169,Ahuja-Sabharwal,OBGYN,Amaravati,Maharashtra,601669459,LIC628609
P006294,Mahajan LLC,Orthopedics,Kakinada,Karnataka,755527585,LIC821367
P035030,Shroff Inc,Dermatology,Ichalkaranji,Manipur,XXXXX,BADLIC
P001509,"Gopal, Magar and Magar",ENT,Haldia,Haryana,187054722,LIC687086
P017651,Krishna and Sons,Cardiology,Jammu,Mizoram,213666075,LIC380501
P020801,Munshi Group,Pediatrics,Gandhidham,Uttarakhand,863544547,LIC353540
P018661,"Pal, Bera and Aggarwal",Oncology,Bulandshahr,Madhya Pradesh,865131243,LIC789915
P016019,Dubey PLC,Urology,Kozhikode,Maharashtra,101676583,LIC686829
P034360,"Sastry, Pillai and Kannan",Orthopedics,Jamalpur,Tripura,544298205,LIC248879
P015312,Raju-Khalsa,Pediatrics,Haridwar,Manipur,505722135,LIC177018
P003896,Morar and Sons,Neurology,Jalandhar,Telangana,316241130,LIC154075
P029435,"Sachdev, Mannan and Sangha",Urology,Tadepalligudem,Punjab,391307935,LIC780418
P007259,Nagar Inc,ENT,Jamnagar,Assam,779245340,LIC331475
P007231,Bhattacharyya-Ramanathan,Neurology,Serampore,West Bengal,267781172,LIC620855
P006704,Comar Inc,OBGYN,Ulhasnagar,Uttarakhand,193832978,LIC314518
P025116,Chad-Sodhi,General Medicine,Bhind,Assam,979240187,LIC390494
P017499,Krish PLC,Orthopedics,Chittoor,Telangana,273639169,LIC205490
P018474,Keer-Kar,Dermatology,Proddatur,Rajasthan,838008939,LIC676190
P016826,Saran LLC,ENT,Gwalior,Tamil Nadu,422902129,LIC490904
P021418,Chanda Inc,Urology,Mango,West Bengal,220730818,LIC393158
P008193,"Sahota, Bhakta and Ben",Orthopedics,Jammu,Assam,617495636,LIC660666
P025365,Mutti Group,Oncology,Arrah,Nagaland,424338605,LIC942417
P013869,"Mand, Kapoor and Bhatti",ENT,Hapur,Tamil Nadu,912333999,LIC739135
P007151,Mukherjee and Sons,Urology,Sambalpur,Odisha,534597532,LIC479511
P034669,Kade-Goel,Orthopedics,Gandhidham,Punjab,XXXXX,BADLIC
P000845,Bose Group,General Medicine,Kolkata,Kerala,928101169,LIC977980
P032290,Babu-Kade,Dermatology,Adoni,Tripura,631282218,LIC194472
P022030,"Char, Walia and Dalal",General Medicine,Gwalior,Jharkhand,639017186,LIC416794
P023640,Lad LLC,Orthopedics,Tiruvottiyur,Tamil Nadu,339077779,LIC791660
P007669,"Thakur, Nori and Bobal",Dermatology,Shivpuri,Assam,652768270,LIC767169
P012311,"Rattan, Uppal and Chadha",Orthopedics,Arrah,Arunachal Pradesh,679496147,LIC119132
P023550,Yogi Group,Pediatrics,Uluberia,Jharkhand,536035819,LIC683226
P009426,Soni-Iyengar,Urology,Jhansi,West Bengal,519026004,LIC766911
P000048,Bahri-Wali,Cardiology,Surendranagar Dudhrej,Mizoram,468589735,LIC653776
P008703,"Kant, Ahluwalia and Sanghvi",OBGYN,Kottayam,Jharkhand,783714972,LIC207881
P037652,Munshi and Sons,,Vijayanagaram,Uttarakhand,XXXXX,BADLIC
P031369,"Bail, Din and Natt",Orthopedics,Guntakal,Jharkhand,951185716,LIC316044
P033212,Thaker-Buch,OBGYN,Thrissur,Nagaland,816526418,LIC301579
P003274,"Patel, Bhatia and Kata",ENT,Tadepalligudem,Manipur,401228545,LIC736340
P000270,"Chokshi, Palla and Pandit",Dermatology,Madhyamgram,Uttarakhand,488793275,LIC136635
P024520,Khurana-Uppal,Urology,Baranagar,Uttar Pradesh,519110791,LIC213807
P028824,Hora Ltd,Urology,Lucknow,Meghalaya,667233405,LIC471462
P032665,Bera Group,General Medicine,Pallavaram,Haryana,583111120,LIC826916
P002162,Babu PLC,Pediatrics,Dehradun,Himachal Pradesh,698899992,LIC279358
P035093,"Lata, Sachar and Sinha",Cardiology,Jamnagar,Rajasthan,XXXXX,BADLIC
P022721,Chaudhry-Bansal,Dermatology,Vadodara,Assam,314283213,LIC789122
P006687,Hans LLC,OBGYN,Anantapuram,Nagaland,563427759,LIC423347
P006688,Khosla-Rau,Orthopedics,Aligarh,Manipur,652944389,LIC291876
P001838,"Jain, Sachar and Sanghvi",Pediatrics,Firozabad,Uttar Pradesh,911166919,LIC105127
P021882,Shukla and Sons,Cardiology,Vijayawada,Maharashtra,846282420,LIC809416
P017143,Goyal-Mistry,Orthopedics,Raipur,Tamil Nadu,138812030,LIC284498
